id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
1,Acrelândia,Acre,AC,1200013,acrelandense,-10.0763918,-67.0586977,15256,1807.95,8.4
2,Assis Brasil,Acre,AC,1200054,assis-brasiliense,-10.7579579,-69.9550338,7417,4974.18,1.5
3,Brasiléia,Acre,AC,1200104,brasileense,-10.705993,-69.1923916,26278,3916.5,6.7
4,Bujari,Acre,AC,1200138,bujariense,-9.8156638,-67.9555789,10266,3034.87,3.4
5,Capixaba,Acre,AC,1200179,capixabense,-10.572112,-67.675122,11733,1701.97,6.9
6,Cruzeiro do Sul,Acre,AC,1200203,cruzeirense,-7.6280405,-72.6761608,88376,8779.4,10.1
7,Epitaciolândia,Acre,AC,1200252,epitaciolandense,-10.8751696,-68.5724112,18411,1654.77,11.1
8,Feijó,Acre,AC,1200302,feijoense,-8.1642847,-70.3529311,34780,27975.43,1.2
9,Jordão,Acre,AC,1200328,jordãoense,-9.1634876,-71.8571331,8317,5357.28,1.6
10,Mâncio Lima,Acre,AC,1200336,mancio-limense,-7.5468003,-73.3708696,18977,5452.85,3.5
11,Manoel Urbano,Acre,AC,1200344,manoel-urbanense,-8.8379028,-69.2619137,9459,10633.14,0.9
12,Marechal Thaumaturgo,Acre,AC,1200351,thaumaturguense,-9.0314758,-72.6151169,18867,8191.69,2.3
13,Plácido de Castro,Acre,AC,1200385,placidiano,-10.2313205,-67.2847875,19761,1943.85,10.2
14,Porto Acre,Acre,AC,1200807,portoacrense,-9.6333647,-67.71391,18504,2604.89,7.1
15,Porto Walter,Acre,AC,1200393,portowaltense,-8.5316163,-72.8042797,11982,6443.83,1.9
16,Rio Branco,Acre,AC,1200401,rio-branquense,-9.9753837,-67.824918,407319,8834.94,46.1
17,Rodrigues Alves,Acre,AC,1200427,rodriguesalvense,-7.881874,-73.3708696,18930,3076.95,6.2
18,Santa Rosa do Purus,Acre,AC,1200435,santarosense,-9.071283,-70.1455805,6540,6145.61,1.1
19,Sena Madureira,Acre,AC,1200500,sena-madureirense,-9.6096717,-69.2877535,45848,23753.07,1.9
20,Senador Guiomard,Acre,AC,1200450,guiomaense,-10.1500737,-67.7367345,23024,2322.03,9.9
21,Tarauacá,Acre,AC,1200609,tarauacaense,-8.2132323,-71.3824374,42567,20171.08,2.1
22,Xapuri,Acre,AC,1200708,xapuriense,-10.6521259,-68.4293214,19323,5347.47,3.6
125,Alvarães,Amazonas,AM,1300029,alvarãense,-3.7751449,-65.3807101,16041,5923.46,2.7
126,Amaturá,Amazonas,AM,1300060,amaturaense,-3.3749087,-68.2010007,11536,4754.11,2.4
127,Anamã,Amazonas,AM,1300086,anamãense,-3.5155735,-61.7941232,13614,2446.12,5.6
128,Anori,Amazonas,AM,1300102,anoriense,-3.7979302,-61.6070583,21010,6036.38,3.5
129,Apuí,Amazonas,AM,1300144,apuiense,-7.6269603,-59.4720904,21973,54240.56,0.4
130,Atalaia do Norte,Amazonas,AM,1300201,atalaiense,-4.3670958,-70.190894,19921,76435.09,0.3
131,Autazes,Amazonas,AM,1300300,autazense,-3.7225517,-59.5642369,39565,7652.85,5.2
132,Barcelos,Amazonas,AM,1300409,barcelense,-0.2674076,-63.2032151,27502,122461.09,0.2
133,Barreirinha,Amazonas,AM,1300508,barreirinhense,-3.0793652,-57.1915504,32041,5751.77,5.6
134,Benjamin Constant,Amazonas,AM,1300607,benjamin-constantense,-4.5204349,-69.9550338,42984,8695.39,4.9
135,Beruri,Amazonas,AM,1300631,beruriense,-4.6128943,-61.8877321,19679,17472.79,1.1
136,Boa Vista do Ramos,Amazonas,AM,1300680,boa-vistense,-3.0621541,-57.6892483,19207,2589.41,7.4
137,Boca do Acre,Amazonas,AM,1300706,bocacrense,-8.7516632,-67.3985312,34308,21938.59,1.6
138,Borba,Amazonas,AM,1300805,borbense,-4.6497952,-59.4720904,41161,44236.18,0.9
139,Caapiranga,Amazonas,AM,1300839,caapiranguense,-3.0855539,-61.7941232,13081,9455.54,1.4
140,Canutama,Amazonas,AM,1300904,canutamense,-6.532966,-64.3871458,15629,33642.6,0.5
141,Carauari,Amazonas,AM,1301001,carauariense,-4.8817618,-66.9046884,28294,25778.66,1.1
142,Careiro,Amazonas,AM,1301100,careirense,-3.8194584,-60.3612267,37869,6096.21,6.2
143,Careiro da Várzea,Amazonas,AM,1301159,careirense-da-várzea,-3.1974487,-59.8255324,30225,2627.47,11.5
144,Coari,Amazonas,AM,1301209,coariense,-4.0945957,-63.1446032,85097,57970.77,1.5
145,Codajás,Amazonas,AM,1301308,codajasense,-3.8398302,-62.0610928,28637,18700.71,1.5
146,Eirunepé,Amazonas,AM,1301407,eirunepeense,-6.8416993,-70.2408325,35273,14966.24,2.4
147,Envira,Amazonas,AM,1301506,envirense,-7.4782808,-69.8597406,20033,7505.81,2.7
148,Fonte Boa,Amazonas,AM,1301605,fonte-boense,-2.4681009,-66.1415263,17609,12155.43,1.4
149,Guajará,Amazonas,AM,1301654,guajaraense,-7.1919754,-72.8042797,16678,7583.72,2.2
150,Humaitá,Amazonas,AM,1301704,humaitaense,-7.5169578,-63.0298013,55080,33111.14,1.7
151,Ipixuna,Amazonas,AM,1301803,ipixunense,-7.2174346,-71.3824374,29689,12109.78,2.5
152,Iranduba,Amazonas,AM,1301852,irandubense,-3.1456879,-60.257396,48296,2216.82,21.8
153,Itacoatiara,Amazonas,AM,1301902,itacoatiarense,-3.3339824,-58.5543821,101337,8891.91,11.4
154,Itamarati,Amazonas,AM,1301951,itamaratiense,-6.7390668,-67.952363,7851,25260.43,0.3
155,Itapiranga,Amazonas,AM,1302009,itapiranguense,-2.4409392,-58.6458369,9148,4335.08,2.1
156,Japurá,Amazonas,AM,1302108,japuraense,-1.8827204,-66.9295891,2755,55827.21,0.0
157,Juruá,Amazonas,AM,1302207,juruaense,-3.5811865,-66.4271499,14712,19442.55,0.8
158,Jutaí,Amazonas,AM,1302306,jutaiense,-4.4008685,-68.5247149,14317,69457.42,0.2
159,Lábrea,Amazonas,AM,1302405,labrense,-7.2645177,-64.7952995,46069,68262.7,0.7
160,Manacapuru,Amazonas,AM,1302504,manacapuruense,-3.2897192,-60.6319066,97377,7336.58,13.3
161,Manaquiri,Amazonas,AM,1302553,manaquirense,-3.9148823,-60.8609358,32105,3973.26,8.1
162,Manaus,Amazonas,AM,1302603,manauara,-3.1190275,-60.0217314,2182763,11401.09,191.5
163,Manicoré,Amazonas,AM,1302702,manicoreense,-5.8116004,-61.2915104,55751,48315.02,1.2
164,Maraã,Amazonas,AM,1302801,maraãense,-2.3019472,-65.0008536,18224,16830.83,1.1
165,Maués,Amazonas,AM,1302900,maueense,-5.3064879,-58.1892921,63905,39991.07,1.6
166,Nhamundá,Amazonas,AM,1303007,nhamundaense,-1.9413603,-57.4627259,21173,14107.04,1.5
167,Nova Olinda do Norte,Amazonas,AM,1303106,olindense,-3.9690604,-58.6458369,37378,5578.13,6.7
168,Novo Airão,Amazonas,AM,1303205,novo-airãoense,-2.6367324,-60.9439131,19454,37776.77,0.5
169,Novo Aripuanã,Amazonas,AM,1303304,aripuanense,-6.3019793,-60.0259466,25644,41179.66,0.6
170,Parintins,Amazonas,AM,1303403,parintinense,-2.6377821,-56.7295415,114273,5956.05,19.2
171,Pauini,Amazonas,AM,1303502,pauiniense,-7.7291953,-68.3339275,19426,41624.67,0.5
172,Presidente Figueiredo,Amazonas,AM,1303536,figueirense,-1.4520011,-60.0259466,36279,25459.1,1.4
173,Rio Preto da Eva,Amazonas,AM,1303569,rio-pretense,-2.6986297,-59.7002779,33347,5815.62,5.7
174,Santa Isabel do Rio Negro,Amazonas,AM,1303601,santa-isabelense,-0.2725526,-65.475736,25156,62800.08,0.4
175,Santo Antônio do Içá,Amazonas,AM,1303700,santoense,-3.0443341,-69.097023,21602,12366.14,1.7
176,São Gabriel da Cachoeira,Amazonas,AM,1303809,são-gabrielense,0.5582388,-68.1431414,45564,109181.24,0.4
177,São Paulo de Olivença,Amazonas,AM,1303908,paulivense,-3.6499007,-69.097023,39299,19658.5,2.0
178,São Sebastião do Uatumã,Amazonas,AM,1303957,uatumaense,-1.9722197,-58.9206295,14020,10647.46,1.3
179,Silves,Amazonas,AM,1304005,silvense,-2.8466271,-58.4629997,9171,3723.38,2.5
180,Tabatinga,Amazonas,AM,1304062,tabatinguense,-4.2316306,-69.936928,65844,3266.06,20.2
181,Tapauá,Amazonas,AM,1304104,tapauense,-5.6250393,-63.1890247,17156,84946.17,0.2
182,Tefé,Amazonas,AM,1304203,tefeense,-3.3514753,-64.7148236,59849,23692.22,2.5
183,Tonantins,Amazonas,AM,1304237,tonantinense,-2.7915832,-67.6662231,18755,6446.89,2.9
184,Uarini,Amazonas,AM,1304260,uarinense,-2.9822411,-65.1593645,13540,10274.68,1.3
185,Urucará,Amazonas,AM,1304302,urucaraense,-2.5297311,-57.754279,16256,27901.96,0.6
186,Urucurituba,Amazonas,AM,1304401,urucuritubense,-3.1297269,-58.1538868,23065,2886.49,8.0
187,Amapá,Amapá,AP,1600105,amapaense,2.0447438,-50.7874222,9109,8454.85,1.1
188,Calçoene,Amapá,AP,1600204,calçoenense,2.3002285,-51.5150077,11117,14117.3,0.8
189,Cutias,Amapá,AP,1600212,cutienses,1.022885,-50.3894858,5983,2179.11,2.7
190,Ferreira Gomes,Amapá,AP,1600238,ferreirense,0.8569136,-51.1799664,7780,4973.85,1.6
191,Itaubal,Amapá,AP,1600253,itaubenses,0.5536852,-50.7208989,5503,1622.87,3.4
192,Laranjal do Jari,Amapá,AP,1600279,laranjalense,1.0943041,-53.2180495,50410,30783.0,1.6
193,Macapá,Amapá,AP,1600303,macapaense,0.0355735,-51.070535,503327,6563.85,76.7
194,Mazagão,Amapá,AP,1600402,mazaganistas,-0.115827,-51.2862467,21632,13294.78,1.6
195,Oiapoque,Amapá,AP,1600501,oiapoquenses,3.844121,-51.8322277,27270,23034.39,1.2
196,Pedra Branca do Amapari,Amapá,AP,1600154,pedrabrancanienses,0.7770846,-51.9507614,16502,9622.29,1.7
197,Porto Grande,Amapá,AP,1600535,portograndenses,0.7099293,-51.4100368,21971,4428.01,5.0
198,Pracuúba,Amapá,AP,1600550,pracuubenses,1.7430365,-50.7858963,5120,4948.51,1.0
199,Santana,Amapá,AP,1600600,santanenses,0.0728284,-51.4421328,121364,1541.22,78.7
200,Serra do Navio,Amapá,AP,1600055,serranavienses,1.63482,-52.2762322,5397,7713.05,0.7
201,Tartarugalzinho,Amapá,AP,1600709,tartarugalense,1.5048944,-50.9118267,17315,6684.71,2.6
202,Vitória do Jari,Amapá,AP,1600808,vitorenses,-1.0173634,-52.1063337,15931,2508.98,6.3
804,Brasília,Distrito Federal,DF,5300108,brasiliense,-15.7997654,-47.8644715,3015268,5760.78,523.4
883,Abadia de Goiás,Goiás,GO,5200050,abadiense,-16.763784,-49.4377043,8773,147.26,59.6
884,Abadiânia,Goiás,GO,5200100,abadiense,-16.1976908,-48.7060608,20042,1045.13,19.2
